from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
IND,BGD,2022,20,20,0,2020s,IND-BGD,Balanced,Very Large
NLD,NGA,2012,1,3,-2,2010s,NLD-NGA,Net flow back to origin,Small
DZA,ITA,2021,4,6,-2,2020s,DZA-ITA,Net flow back to origin,Large
SVK,EGY,2022,2,1,1,2020s,SVK-EGY,Net flow to destination,Medium
AUT,CHN,2023,24,6,18,2020s,AUT-CHN,Net flow to destination,Very Large
LKA,IND,2020,7,10,-3,2020s,LKA-IND,Net flow back to origin,Large
POL,CZE,2022,23,28,-5,2020s,POL-CZE,Net flow back to origin,Very Large
LIE,AUT,2021,3,1,2,2020s,LIE-AUT,Net flow to destination,Medium
DEU,COL,2021,23,33,-10,2020s,DEU-COL,Net flow back to origin,Very Large
NLD,ECU,2020,6,2,4,2020s,NLD-ECU,Net flow to destination,Large
CAN,KWT,2021,15,11,4,2020s,CAN-KWT,Net flow to destination,Very Large
NLD,SAU,2018,15,4,11,2010s,NLD-SAU,Net flow to destination,Very Large
SGP,TUR,2017,5,7,-2,2010s,SGP-TUR,Net flow back to origin,Large
DNK,RUS,2022,6,13,-7,2020s,DNK-RUS,Net flow back to origin,Large
MEX,PRY,2022,1,2,-1,2020s,MEX-PRY,Net flow back to origin,Small
ECU,PAN,2021,1,1,0,2020s,ECU-PAN,Balanced,Small
KOR,FRA,2020,37,14,23,2020s,KOR-FRA,Net flow to destination,Very Large
SWE,ROU,2000,3,2,1,2000s,SWE-ROU,Net flow to destination,Medium
SGP,BRN,2018,1,2,-1,2010s,SGP-BRN,Net flow back to origin,Small
MEX,GTM,2022,7,2,5,2020s,MEX-GTM,Net flow to destination,Large
GBR,ROU,2022,18,19,-1,2020s,GBR-ROU,Net flow back to origin,Very Large
DNK,PRT,2022,4,7,-3,2020s,DNK-PRT,Net flow back to origin,Large
CHN,NOR,2007,9,5,4,2000s,CHN-NOR,Net flow to destination,Large
PRT,CHN,2021,17,12,5,2020s,PRT-CHN,Net flow to destination,Very Large
FRA,GLP,2022,26,27,-1,2020s,FRA-GLP,Net flow back to origin,Very Large
IND,CHE,2018,60,30,30,2010s,IND-CHE,Net flow to destination,Very Large
MAR,PRT,2022,3,2,1,2020s,MAR-PRT,Net flow to destination,Medium
